split,utterance,canonical_phones,mfa_phones,matched_phones
train,000360264,30,31,28
train,000360283,11,11,10
train,000360313,21,21,19
train,000360314,14,14,14
train,000360332,27,27,24
train,000360334,18,19,17
train,000360339,24,24,24
train,000360343,30,30,27
train,000360360,22,23,21
train,000360378,13,13,12
train,000480010,9,9,8
train,000480014,13,13,12
train,000480016,13,13,13
train,000480019,16,16,16
train,000480023,13,12,11
train,000480033,12,12,11
train,000480045,13,13,13
train,000480068,10,10,10
train,000480081,15,14,14
train,000480089,14,14,14
train,000480090,8,8,8
train,000480108,14,14,14
train,000480119,16,16,14
train,000480125,22,22,20
train,000480134,14,14,14
train,000480136,17,17,14
train,000480151,11,12,10
train,000480158,13,13,12
train,000480159,13,13,12
train,000530003,17,17,15
train,000530006,15,15,15
train,000530019,16,16,15
train,000530027,9,9,9
train,000530030,14,14,14
train,000530037,9,11,9
train,000530054,9,10,9
train,000530055,15,15,14
train,000530060,16,16,15
train,000530063,12,13,12
train,000530077,13,14,13
train,000530109,14,14,14
train,000530112,18,18,18
train,000530115,17,18,16
train,000530145,25,25,25
train,000530154,11,11,11
train,000530163,16,17,16
train,000530174,12,13,12
train,000540001,10,12,10
train,000540004,10,12,9
train,000540014,14,14,14
train,000540018,18,18,17
train,000540031,12,13,12
train,000540054,12,13,12
train,000540055,12,12,11
train,000540058,23,23,21
train,000540062,14,13,12
train,000540072,15,15,14
train,000540077,14,15,13
train,000540088,13,13,12
train,000540106,17,17,17
train,000540111,14,14,12
train,000540117,16,17,15
train,000540123,20,21,20
train,000540127,16,16,15
train,000540130,12,12,12
train,000540156,10,10,10
train,000540163,11,12,9
train,000560016,19,19,16
train,000560017,17,18,16
train,000560026,12,15,12
train,000560030,10,10,10
train,000560033,13,14,13
train,000560038,9,11,8
train,000560058,14,15,12
train,000560068,11,11,9
train,000560074,11,12,11
train,000560075,15,16,14
train,000560084,14,14,12
train,000560086,14,14,14
train,000560088,8,8,8
train,000560116,19,19,17
train,000560117,25,26,23
train,000560134,22,22,22
train,000560154,13,13,11
train,000560159,7,8,6
train,000560162,14,14,14
train,000560172,12,12,11
train,000700008,16,16,15
train,000700010,13,13,12
train,000700012,12,12,10
train,000700015,17,17,17
train,000700019,17,17,16
train,000700034,12,14,12
train,000700037,12,14,12
train,000700046,12,14,12
train,000700048,10,11,10
train,000700053,12,13,12
train,000700063,14,13,10
train,000700065,15,15,15
train,000700082,10,10,9
train,000700109,14,14,14
train,000700120,18,18,16
train,000700123,23,23,21
train,000700130,13,13,12
train,000700151,13,14,12
train,000700156,7,7,6
train,000700174,9,10,9
train,000750005,11,12,11
train,000750015,15,15,14
train,000750020,24,24,21
train,000750024,13,13,12
train,000750026,14,14,13
train,000750029,15,16,15
train,000750045,12,13,11
train,000750068,13,13,10
train,000750080,13,14,12
train,000750082,14,14,13
train,000750085,12,12,10
train,000750091,18,21,17
train,000750101,12,12,10
train,000750108,11,11,10
train,000750123,17,18,17
train,000750134,9,9,9
train,000750140,13,13,9
train,000750149,18,17,16
train,001030008,17,17,16
train,001030013,15,15,14
train,001030032,13,13,12
train,001030048,10,10,9
train,001030053,9,10,9
train,001030054,9,10,9
train,001030060,15,15,15
train,001030061,12,12,11
train,001030065,11,11,11
train,001030077,16,17,15
train,001030078,16,16,14
train,001030090,11,11,9
train,001030099,18,19,17
train,001030102,16,16,16
train,001030103,17,17,16
train,001030121,16,16,16
train,001030136,17,17,16
train,001030143,16,16,15
train,001030144,20,20,19
train,001030155,10,10,10
train,001040022,14,14,14
train,001040026,14,14,14
train,001040038,12,12,11
train,001040050,12,13,12
train,001040062,11,12,10
train,001040069,14,14,13
train,001040071,13,13,11
train,001040073,16,17,16
train,001040100,18,18,16
train,001040104,12,12,10
train,001040106,14,14,14
train,001040108,15,15,15
train,001040115,18,18,18
train,001040120,18,18,16
train,001040122,17,17,16
train,001040134,16,16,16
train,001040136,15,15,14
train,001040149,27,27,26
train,001040173,8,8,6
train,001310022,14,14,13
train,001310023,14,14,14
train,001310061,14,14,14
train,001310062,11,11,10
train,001310076,18,19,17
train,001310078,16,17,15
train,001310081,13,13,12
train,001310096,17,17,17
train,001310122,19,19,16
train,001310123,25,25,24
train,001310129,13,13,11
train,001310144,9,9,9
train,001310148,2,3,2
train,001310152,12,12,11
train,001310154,11,12,8
train,001310155,6,6,5
train,001310162,6,6,6
train,001310165,14,15,14
train,001310168,9,9,6
train,001350002,16,17,16
train,001350091,31,31,30
train,001350119,21,22,20
train,001350124,27,28,27
train,001350134,9,10,9
train,001350163,18,18,16
train,001350174,22,21,18
train,001350180,27,27,26
train,001350194,25,25,24
train,001350216,15,16,14
train,001350219,24,24,21
train,001350243,15,15,15
train,001350285,23,24,21
train,001350312,20,20,19
train,001350317,26,26,24
train,001350318,21,21,21
train,001350343,19,20,18
train,001350350,12,13,10
train,001350356,16,16,14
train,001350375,19,20,18
train,001450037,10,11,10
train,001450043,11,12,11
train,001450049,20,19,18
train,001450051,18,19,17
train,001450063,11,12,11
train,001450070,13,14,13
train,001450083,19,19,17
train,001450090,19,19,18
train,001450094,17,18,16
train,001450098,19,20,18
train,001450109,12,12,12
train,001450116,19,20,18
train,001450140,9,9,9
train,001450142,4,4,4
train,001450146,9,9,9
train,001450159,13,13,12
train,001450170,14,15,13
train,001450171,18,18,14
train,001450172,15,15,15
train,001450173,4,4,4
train,004820005,22,23,20
train,004820015,24,24,22
train,004820041,32,32,31
train,004820045,13,13,13
train,004820055,19,19,18
train,004820114,29,31,27
train,004820119,24,24,23
train,004820144,22,22,22
train,004820201,25,27,25
train,004820214,19,19,16
train,004820220,14,14,13
train,004820239,17,18,16
train,004820258,20,21,19
train,004820265,25,25,25
train,004820268,16,17,15
train,004820329,22,21,21
train,004820353,23,23,22
train,004820370,17,18,17
train,004820371,22,22,20
train,004820378,31,32,27
train,005600015,22,22,21
train,005600060,17,16,15
train,005600065,18,18,17
train,005600129,24,24,22
train,005600145,15,16,15
train,005600146,12,12,12
train,005600153,12,12,11
train,005600154,32,33,31
train,005600180,12,14,12
train,005600199,14,14,13
train,005600205,26,27,25
train,005600212,22,23,22
train,005600214,16,16,16
train,005600268,18,19,16
train,005600294,11,11,10
train,005600296,22,22,22
train,005600298,11,12,11
train,005600318,23,23,22
train,005600365,18,18,18
train,005600370,21,21,21
train,005750059,30,31,30
train,005750067,23,22,22
train,005750089,32,33,31
train,005750099,30,32,29
train,005750150,22,23,20
train,005750168,18,19,15
train,005750178,13,15,13
train,005750179,17,18,16
train,005750237,23,24,21
train,005750249,19,20,19
train,005750268,19,20,18
train,005750270,23,23,23
train,005750290,16,16,15
train,005750297,24,24,22
train,005750298,12,12,11
train,005750300,16,16,16
train,005750303,15,15,14
train,005750321,16,16,14
train,005750330,30,30,28
train,005750347,28,30,27
train,005940019,20,21,20
train,005940025,22,22,21
train,005940141,18,20,18
train,005940142,16,16,16
train,005940164,19,19,17
train,005940174,24,24,23
train,005940193,17,17,16
train,005940195,13,13,12
train,005940234,16,16,14
train,005940237,19,19,19
train,005940238,20,20,18
train,005940252,17,17,16
train,005940263,26,27,24
train,005940267,21,21,19
train,005940271,19,19,19
train,005940283,17,17,17
train,005940304,18,18,16
train,005940318,21,21,21
train,005940373,22,22,19
train,005940380,25,26,23
train,007390013,19,21,18
train,007390019,21,21,20
train,007390062,21,22,20
train,007390070,38,39,37
train,007390072,16,16,16
train,007390092,16,15,14
train,007390119,22,22,20
train,007390120,16,17,16
train,007390139,23,23,23
train,007390160,24,25,24
train,007390195,28,29,25
train,007390197,17,17,17
train,007390208,20,21,20
train,007390211,14,14,12
train,007390220,29,29,29
train,007390228,18,18,17
train,007390238,21,21,20
train,007390281,19,19,19
train,007390294,13,13,12
train,007390355,28,28,28
train,008130061,27,26,26
train,008130081,27,29,24
train,008130091,38,38,34
train,008130100,25,23,21
train,008130153,15,15,15
train,008130196,16,16,14
train,008130222,19,19,19
train,008130233,17,19,16
train,008130257,14,14,14
train,008130271,23,23,20
train,008130281,20,21,16
train,008130282,30,31,28
train,008130283,27,25,23
train,008130288,29,28,25
train,008130301,19,19,18
train,008130339,18,18,18
train,008130340,20,20,17
train,008130346,17,18,15
train,008130356,16,16,16
train,008130380,21,21,20
train,009600062,17,17,17
train,009600113,35,34,30
train,009600118,25,27,23
train,009600120,14,14,14
train,009600127,22,22,22
train,009600129,21,21,20
train,009600133,32,34,31
train,009600140,18,18,17
train,009600186,19,19,18
train,009600190,23,24,23
train,009600205,28,28,26
train,009600215,12,12,12
train,009600262,13,14,13
train,009600267,19,20,17
train,009600270,26,24,23
train,009600287,16,15,13
train,009600335,31,32,30
train,009600337,19,19,17
train,009600338,25,24,23
train,009600343,12,14,12
train,010120008,16,17,15
train,010120059,33,33,31
train,010120071,25,24,23
train,010120128,18,18,18
train,010120148,28,28,28
train,010120166,22,22,20
train,010120180,12,12,11
train,010120193,16,16,15
train,010120200,17,17,16
train,010120208,24,24,24
train,010120212,20,20,18
train,010120219,22,22,21
train,010120243,31,32,31
train,010120255,22,22,22
train,010120265,19,19,19
train,010120269,21,21,20
train,010120303,31,32,31
train,010120334,23,24,22
train,010120335,29,29,27
train,010120374,18,18,15
train,010270117,15,15,15
train,010270124,19,19,19
train,010270131,14,14,13
train,010270140,23,23,22
train,010270170,18,19,18
train,010270198,22,23,19
train,010270226,17,18,15
train,010270238,16,16,16
train,010270265,23,22,19
train,010270268,30,32,26
train,010270294,16,16,16
train,010270301,19,19,18
train,010270306,34,36,31
train,010270314,18,18,15
train,010270349,24,25,24
train,010270354,17,17,15
train,010270356,24,25,22
train,010270366,23,23,22
train,010270368,21,23,18
train,010270377,31,33,28
train,010290003,18,18,16
train,010290066,26,26,25
train,010290094,15,14,13
train,010290096,25,25,24
train,010290123,24,25,24
train,010290152,29,30,28
train,010290179,15,17,15
train,010290189,17,17,17
train,010290229,16,17,14
train,010290236,21,21,20
train,010290252,28,28,24
train,010290260,15,15,15
train,010290276,15,16,14
train,010290287,19,20,18
train,010290294,17,16,14
train,010290320,26,26,25
train,010290330,24,24,24
train,010290341,33,34,33
train,010290361,24,25,22
train,010290362,17,17,17
train,010330026,25,27,25
train,010330033,15,15,15
train,010330035,23,25,23
train,010330052,28,30,26
train,010330053,24,25,23
train,010330085,24,24,24
train,010330103,25,25,22
train,010330129,24,26,24
train,010330139,34,36,32
train,010330147,16,16,15
train,010330197,33,32,31
train,010330235,15,15,14
train,010330241,16,16,16
train,010330257,24,24,20
train,010330268,21,21,21
train,010330277,25,24,23
train,010330325,26,26,26
train,010330345,17,17,15
train,010330346,28,28,28
train,010420022,14,14,14
train,010420023,17,17,17
train,010420034,13,14,13
train,010420040,12,14,12
train,010420047,7,7,7
train,010420059,15,15,15
train,010420060,14,14,13
train,010420064,14,14,12
train,010420105,16,16,15
train,010420129,15,15,14
train,010420133,14,14,12
train,010420134,16,16,15
train,010420143,25,25,21
train,010420151,10,11,9
train,010420157,14,15,13
train,010420167,14,15,14
train,010420175,11,11,11
train,010440006,18,19,18
train,010440008,19,19,17
train,010440012,21,21,20
train,010440017,15,15,14
train,010440038,12,14,12
train,010440039,14,15,14
train,010440053,31,31,30
train,010440064,16,17,16
train,010440077,13,14,13
train,010440099,10,11,10
train,010440106,18,18,17
train,010440107,19,20,19
train,010440117,17,18,16
train,010440119,19,19,18
train,010440120,14,14,14
train,010440149,10,11,10
train,010440150,13,13,13
train,010440154,10,11,9
train,010640005,24,25,20
train,010640017,26,28,24
train,010640028,28,27,26
train,010640034,21,22,20
train,010640036,27,28,26
train,010640056,30,32,28
train,010640082,15,16,14
train,010640098,14,15,13
train,010640166,26,28,25
train,010640210,22,23,20
train,010640212,19,19,17
train,010640242,14,14,14
train,010640250,17,17,16
train,010640277,15,15,15
train,010640280,28,28,27
train,010640284,15,15,15
train,010640286,18,18,18
train,010640297,21,22,20
train,010640314,21,21,18
train,010640366,26,29,25
train,010920012,16,16,16
train,010920024,15,16,15
train,010920025,20,20,20
train,010920030,10,10,10
train,010920032,14,16,14
train,010920033,10,12,10
train,010920043,13,15,12
train,010920044,11,12,11
train,010920065,16,16,16
train,010920070,17,17,16
train,010920075,13,13,13
train,010920105,19,20,17
train,010920125,22,22,20
train,010920126,20,20,17
train,010920141,19,18,15
train,010920153,10,9,7
train,010920159,18,18,18
train,010920165,8,8,7
train,011970004,14,14,13
train,011970006,21,21,21
train,011970019,15,15,15
train,011970036,10,10,10
train,011970042,14,14,14
train,011970075,14,14,13
train,011970081,12,12,11
train,011970087,15,14,14
train,011970092,13,13,10
train,011970095,18,18,17
train,011970107,22,21,20
train,011970141,18,18,15
train,011970142,18,17,12
train,011970145,24,24,23
train,011970165,12,12,12
train,011970173,10,10,9
train,011970175,20,20,16
train,012030007,15,15,15
train,012030010,19,19,19
train,012030013,17,17,17
train,012030024,14,14,14
train,012030027,22,22,22
train,012030031,10,11,10
train,012030032,12,12,12
train,012030036,12,12,12
train,012030043,15,17,15
train,012030044,14,15,14
train,012030053,20,20,19
train,012030055,23,23,23
train,012030058,13,14,11
train,012030072,10,10,10
train,012030078,9,9,9
train,012030083,16,16,15
train,012030093,14,14,11
train,012030097,13,13,11
train,012030116,22,23,21
train,012030138,15,14,12
train,012600017,24,25,24
train,012600072,21,21,21
train,012600082,31,31,29
train,012600129,20,20,20
train,012600131,19,20,19
train,012600177,15,15,15
train,012600186,20,19,17
train,012600210,30,31,29
train,012600219,15,16,15
train,012600224,13,13,13
train,012600251,13,13,12
train,012600252,18,18,17
train,012600263,18,18,18
train,012600281,22,22,22
train,012600295,15,16,14
train,012600330,15,15,13
train,012600338,12,12,11
train,012600345,31,31,28
train,012600357,20,22,20
train,012600368,20,20,20
train,013090018,17,18,16
train,013090027,22,23,21
train,013090041,28,28,27
train,013090051,24,24,23
train,013090076,24,23,21
train,013090105,15,15,14
train,013090128,24,24,21
train,013090147,26,27,25
train,013090148,15,15,14
train,013090160,23,23,22
train,013090179,23,23,22
train,013090181,18,18,17
train,013090184,18,18,17
train,013090185,20,20,19
train,013090202,14,16,14
train,013090232,16,19,14
train,013090267,30,31,28
train,013090287,13,13,12
train,013090339,21,21,19
train,013090364,28,28,24
train,013360001,33,32,31
train,013360002,14,15,14
train,013360016,19,19,18
train,013360082,33,34,31
train,013360123,12,12,12
train,013360130,22,24,22
train,013360140,15,16,15
train,013360145,14,14,13
train,013360146,14,15,13
train,013360161,25,25,22
train,013360162,16,16,16
train,013360171,23,23,23
train,013360226,18,19,17
train,013360234,27,28,25
train,013360235,15,15,15
train,013360257,13,13,12
train,013360263,14,14,14
train,013360268,15,15,15
train,013360360,17,17,16
train,013360363,18,18,18
train,013620027,16,16,15
train,013620030,28,26,22
train,013620106,27,27,25
train,013620108,23,23,22
train,013620128,12,12,12
train,013620137,20,20,20
train,013620140,20,19,18
train,013620143,21,21,20
train,013620146,12,12,12
train,013620162,13,14,13
train,013620175,22,22,20
train,013620184,16,16,16
train,013620185,24,24,24
train,013620210,25,25,25
train,013620241,14,14,13
train,013620257,18,18,17
train,013620258,12,12,9
train,013620292,17,17,16
train,013620361,14,14,13
train,013620366,13,14,13
train,013720023,12,12,12
train,013720051,26,27,26
train,013720070,22,22,22
train,013720082,22,23,22
train,013720140,21,20,19
train,013720152,21,20,18
train,013720153,20,20,20
train,013720167,16,16,13
train,013720182,24,24,24
train,013720189,25,25,25
train,013720198,18,18,17
train,013720199,20,21,19
train,013720201,20,20,17
train,013720215,13,14,13
train,013720233,16,16,16
train,013720256,19,19,19
train,013720274,27,26,26
train,013720275,20,20,20
train,013720311,20,21,19
train,013720360,20,20,18
train,014070040,24,25,23
train,014070080,19,20,19
train,014070092,24,24,24
train,014070101,24,25,24
train,014070159,12,12,11
train,014070207,23,23,23
train,014070217,13,13,12
train,014070239,19,20,19
train,014070248,14,14,12
train,014070265,17,17,17
train,014070270,16,16,16
train,014070281,25,25,24
train,014070297,30,32,29
train,014070304,24,24,23
train,014070308,28,28,24
train,014070336,25,25,24
train,014070341,40,41,38
train,014070343,23,23,22
train,014070349,30,30,28
train,014070358,22,22,21
train,014180002,24,24,23
train,014180008,17,17,16
train,014180011,12,12,11
train,014180013,13,13,11
train,014180044,12,14,12
train,014180051,16,16,16
train,014180063,11,11,11
train,014180084,19,19,18
train,014180088,12,12,11
train,014180100,15,15,13
train,014180131,19,19,18
train,014180139,22,23,22
train,014180143,23,23,21
train,014180150,15,18,15
train,014180155,10,10,8
train,014180158,9,9,8
train,014180160,9,9,8
train,014180165,12,12,12
train,014180166,11,11,11
train,014190025,22,22,22
train,014190027,16,16,16
train,014190030,12,12,12
train,014190055,19,19,17
train,014190059,13,14,13
train,014190060,10,10,10
train,014190062,12,12,10
train,014190064,17,17,16
train,014190071,7,7,7
train,014190073,14,14,14
train,014190081,13,14,13
train,014190088,20,22,19
train,014190095,15,15,14
train,014190098,20,20,17
train,014190107,21,21,16
train,014190114,16,16,14
train,014190172,10,10,10
train,014350004,19,19,19
train,014350012,18,18,18
train,014350016,19,19,19
train,014350020,16,17,16
train,014350022,18,18,16
train,014350028,11,14,11
train,014350094,19,19,18
train,014350103,14,14,11
train,014350110,19,19,17
train,014350133,14,14,13
train,014350146,27,28,25
train,014350153,10,10,10
train,014350157,9,10,9
train,014350158,12,12,10
train,014350163,10,10,9
train,014350165,14,14,11
train,014390008,16,16,14
train,014390009,20,18,16
train,014390045,13,15,13
train,014390052,24,24,22
train,014390057,17,17,17
train,014390064,14,14,14
train,014390068,19,19,19
train,014390076,13,13,13
train,014390086,19,20,18
train,014390090,15,15,14
train,014390117,23,23,21
train,014390124,15,15,15
train,014390133,23,23,22
train,014390134,23,23,20
train,014390135,21,20,18
train,014390143,22,21,19
train,014390154,11,11,10
train,014390156,14,14,11
train,014390163,14,16,14
train,014470007,17,17,16
train,014470017,18,18,17
train,014470026,13,13,11
train,014470028,13,13,12
train,014470031,7,7,7
train,014470038,10,10,10
train,014470039,12,13,12
train,014470053,13,13,13
train,014470060,9,9,9
train,014470063,14,14,14
train,014470072,13,13,13
train,014470084,18,19,17
train,014470100,17,17,17
train,014470124,15,15,15
train,014470140,32,31,29
train,014470141,25,22,18
train,014470149,9,11,9
train,014470150,10,10,10
train,020220021,33,33,31
train,020220023,33,33,33
train,020220033,32,31,27
train,020220048,12,12,12
train,020220056,18,18,17
train,020220060,14,14,13
train,020220072,16,17,14
train,020220091,26,26,26
train,020220120,21,20,19
train,020220122,14,14,14
train,020220139,20,20,20
train,020220141,13,14,12
train,020220176,19,20,18
train,020220200,24,24,24
train,020220221,17,17,17
train,020220232,15,15,15
train,020220259,19,19,18
train,020220264,25,26,22
train,020220295,19,19,19
train,020220366,13,13,13
train,020340016,19,19,19
train,020340019,16,16,16
train,020340029,12,12,12
train,020340043,9,9,9
train,020340055,17,17,16
train,020340056,22,23,19
train,020340063,12,12,11
train,020340065,14,13,13
train,020340071,14,13,13
train,020340096,20,20,19
train,020340098,21,22,20
train,020340109,29,26,23
train,020340113,26,26,26
train,020340140,11,11,11
train,020340144,23,23,21
train,020340156,17,19,17
train,020340162,13,15,12
train,020340166,14,12,11
train,020340169,17,17,17
train,020360017,14,14,14
train,020360019,20,20,18
train,020360036,17,17,16
train,020360055,29,29,29
train,020360089,32,32,31
train,020360097,21,21,20
train,020360100,21,22,21
train,020360131,34,34,31
train,020360136,13,13,13
train,020360143,15,16,14
train,020360202,17,17,16
train,020360211,18,18,15
train,020360220,16,16,16
train,020360228,11,11,11
train,020360245,18,17,14
train,020360299,29,30,28
train,020360301,10,10,9
train,020360302,22,22,21
train,020360312,38,39,36
train,020360329,16,16,15
train,020590022,19,20,18
train,020590026,27,27,26
train,020590047,13,14,11
train,020590077,40,41,36
train,020590103,21,22,17
train,020590121,19,20,18
train,020590122,15,16,15
train,020590123,14,14,14
train,020590144,24,24,23
train,020590151,11,11,10
train,020590164,14,14,14
train,020590181,19,20,19
train,020590228,23,22,21
train,020590265,19,20,18
train,020590274,24,25,24
train,020590276,25,27,25
train,020590290,15,16,15
train,020590322,26,26,23
train,020590359,14,14,14
train,020590376,25,25,24
train,020610010,13,13,12
train,020610014,14,13,13
train,020610061,30,31,28
train,020610090,15,15,14
train,020610122,20,21,20
train,020610134,13,13,13
train,020610166,16,16,15
train,020610168,24,25,22
train,020610174,19,19,18
train,020610175,16,18,15
train,020610194,22,22,20
train,020610201,15,16,15
train,020610206,17,17,16
train,020610207,18,18,17
train,020610291,14,14,12
train,020610302,20,21,19
train,020610316,23,23,22
train,020610328,14,14,12
train,020610341,27,27,26
train,020610343,30,30,30
train,020890003,33,32,31
train,020890037,14,15,14
train,020890112,19,21,18
train,020890134,14,14,14
train,020890156,16,17,16
train,020890165,22,22,20
train,020890206,24,23,23
train,020890207,15,16,12
train,020890215,21,22,20
train,020890219,15,15,12
train,020890259,19,19,19
train,020890260,26,26,25
train,020890267,18,18,16
train,020890274,22,22,20
train,020890306,21,21,21
train,020890313,18,17,16
train,020890326,27,28,24
train,020890340,25,25,24
train,020890346,23,25,22
train,020890371,9,9,9
train,021290009,18,18,18
train,021290011,22,22,22
train,021290068,27,27,25
train,021290121,18,18,18
train,021290134,15,15,14
train,021290144,27,28,25
train,021290148,20,21,19
train,021290160,24,24,24
train,021290169,19,19,18
train,021290173,16,17,15
train,021290200,23,24,23
train,021290209,25,25,23
train,021290235,28,28,27
train,021290261,18,20,16
train,021290282,22,22,21
train,021290291,19,19,18
train,021290319,23,23,18
train,021290324,18,18,18
train,021290326,16,16,14
train,021290371,19,19,18
train,021680007,16,16,14
train,021680016,22,22,19
train,021680048,34,34,30
train,021680052,25,25,23
train,021680122,21,21,17
train,021680154,20,20,17
train,021680169,17,17,15
train,021680190,35,36,31
train,021680237,27,28,25
train,021680246,15,15,14
train,021680249,22,24,19
train,021680251,17,17,17
train,021680266,20,20,20
train,021680288,30,30,26
train,021680297,23,25,23
train,021680318,19,20,17
train,021680332,16,16,16
train,021680369,13,13,11
train,021680379,24,25,24
train,021680380,35,35,35
train,021700029,23,23,20
train,021700034,30,32,29
train,021700062,25,25,23
train,021700077,11,12,10
train,021700120,33,33,29
train,021700131,16,16,14
train,021700139,21,21,21
train,021700153,34,34,32
train,021700176,9,10,8
train,021700211,20,21,18
train,021700224,22,22,20
train,021700232,26,27,25
train,021700236,29,31,28
train,021700240,31,32,30
train,021700277,20,20,18
train,021700287,17,17,17
train,021700291,16,15,15
train,021700300,22,22,19
train,021700362,14,14,13
train,021700379,22,21,19
train,021790008,18,17,16
train,021790025,16,16,16
train,021790030,9,10,9
train,021790035,12,14,12
train,021790039,14,15,14
train,021790040,13,15,13
train,021790043,11,12,10
train,021790075,13,13,12
train,021790083,18,18,17
train,021790084,16,17,16
train,021790108,24,26,23
train,021790112,10,10,10
train,021790125,16,15,12
train,021790149,12,12,11
train,021790152,13,13,13
train,021790168,19,19,17
train,021790169,14,14,12
train,021790173,17,17,15
train,022080028,19,20,19
train,022080038,22,22,21
train,022080085,21,22,20
train,022080100,19,18,18
train,022080116,22,22,21
train,022080124,28,28,27
train,022080146,19,21,18
train,022080179,30,31,28
train,022080181,19,20,19
train,022080186,15,15,14
train,022080187,18,17,15
train,022080189,13,14,11
train,022080192,19,20,18
train,022080202,13,14,10
train,022080204,16,16,14
train,022080210,30,32,29
train,022080294,12,12,12
train,022080299,28,29,27
train,022080340,30,31,28
train,022080341,19,19,18
train,022360092,25,25,22
train,022360126,24,25,22
train,022360147,13,13,11
train,022360159,15,16,12
train,022360185,18,19,18
train,022360186,14,14,13
train,022360221,17,17,16
train,022360222,17,17,16
train,022360227,15,15,15
train,022360231,22,22,20
train,022360253,29,30,28
train,022360259,19,19,18
train,022360262,14,14,13
train,022360265,21,21,17
train,022360293,18,18,18
train,022360310,27,27,26
train,022360311,16,16,15
train,022360321,40,41,39
train,022360326,17,17,17
train,022360350,16,17,14
train,022420015,13,13,13
train,022420045,21,20,19
train,022420067,18,18,15
train,022420073,21,21,20
train,022420086,32,32,29
train,022420106,18,18,18
train,022420129,15,15,14
train,022420138,15,15,13
train,022420146,20,20,19
train,022420164,20,20,16
train,022420168,24,24,23
train,022420172,14,14,13
train,022420273,20,22,18
train,022420288,18,18,17
train,022420292,15,16,15
train,022420306,18,18,18
train,022420342,14,14,13
train,022420346,21,21,20
train,022420348,26,27,25
train,022420362,21,21,18
train,022440038,33,33,29
train,022440039,30,30,29
train,022440062,34,34,32
train,022440073,31,31,31
train,022440126,12,12,12
train,022440134,22,23,21
train,022440139,13,13,11
train,022440144,14,14,14
train,022440165,22,22,21
train,022440180,22,22,21
train,022440189,28,28,23
train,022440215,18,18,17
train,022440277,17,17,16
train,022440286,26,27,24
train,022440312,16,16,15
train,022440337,17,18,17
train,022440340,22,22,22
train,022440352,20,19,17
train,022440361,24,25,24
train,022440362,20,20,18
train,022510066,18,18,17
train,022510069,20,20,19
train,022510089,24,27,21
train,022510093,22,22,22
train,022510095,20,20,20
train,022510122,15,15,15
train,022510152,24,24,22
train,022510166,19,21,19
train,022510190,20,21,18
train,022510211,16,17,16
train,022510230,24,25,23
train,022510237,22,22,21
train,022510255,13,13,13
train,022510266,20,21,20
train,022510276,20,21,20
train,022510291,15,15,14
train,022510300,12,12,12
train,022510320,20,20,18
train,022510323,15,15,14
train,022510368,20,20,20
train,022820020,30,31,30
train,022820021,20,20,18
train,022820026,18,17,15
train,022820042,35,35,32
train,022820062,39,37,36
train,022820072,30,30,29
train,022820079,27,27,26
train,022820106,24,24,24
train,022820107,21,21,20
train,022820121,19,20,18
train,022820134,19,20,18
train,022820142,13,14,13
train,022820155,18,18,16
train,022820191,17,17,15
train,022820197,16,16,14
train,022820281,11,11,11
train,022820291,15,16,13
train,022820293,18,18,17
train,022820317,19,19,18
